,0,1
97,"  Off Morris, Abule Ijesha, Yaba, Lagos","15,000,000"
98,"  Orchid Hotel Road, VGC, Lekki, Lagos","1,400,000"
99,"  Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","15,000,000"
100,"  Lekki Palm City Estate, Ajiwe, Ajah, Lagos","900,000"
101,"  Ikoyi, Lagos","5,000,000"
102,"  Graceland Estate, Ajiwe, Ajah, Lagos","2,000,000"
103,"  Ikoyi, Lagos",₦
104,"  Durumi, Abuja",₦
105,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
106,"  Shortly After The Roundabout, Ogudu, Lagos",₦
107,"  Cooperative Road Estate, Badore, Ajah, Lagos",₦
108,"  Anthony, Maryland, Lagos",₦
109,"  Adekunle, Yaba, Lagos",₦
110,"  Lekki Phase 1, Lekki, Lagos",₦
111,"  Estate, Lekki Phase 1, Lekki, Lagos",₦
112,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
113,"  Off Glover Rd, Old Ikoyi, Ikoyi, Lagos",₦
114,"  Off Banana Island Road, Ikoyi, Lagos",₦
115,"  Aguda Ogba Ikeja, Ogba, Ikeja, Lagos",₦
116,"  Jahi, Abuja",₦
117,"  Chevron, Lekki, Lagos",₦
118,"  Ikate Elegushi, Lekki, Lagos",₦
119,"  Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",₦
120,"  Osapa, Lekki, Lagos",₦
121,"  Forthright Gardens Estate, Berger, Arepo, Ogun",₦
122,"  Off Eletu Odibo Street, Abule Ijesha, Yaba, Lagos",₦
123,"  Seaside Estate, Badore, Ajah, Lagos","3,000,000"
124,"  Osapa London, Osapa, Lekki, Lagos","4,000,000"
125,"  Osapa London, Osapa, Lekki, Lagos","850,000"
126,"  Lekki Phase 1, Lekki, Lagos","6,500,000"
127,"  Parkview, Ikoyi, Lagos","6,000,000"
128,"  Thomas Estate, Ajah, Lagos","1,800,000"
129,"  Ikate Elegushi, Lekki, Lagos","2,500,000"
130,"  Osborne, Ikoyi, Lagos","1,500,000"
131,"  Eleganza Gardens(opp Vgc), Lekki Phase 2, Lekki, Lagos","12,000"
132,"  Awolowo Road, Ikoyi, Lagos","5,500,000"
133,"  Awolowo Road, Ikoyi, Lagos","2,800,000"
134,"  Before Mowe, Along Lagos-ibadan Expressway, Mowe Ofada, Ogun","3,200,000"
135,"  Lekki, Lagos","600,000"
136,"  Off Road 1.westend Estate, Ikota, Lekki, Lagos","3,500,000"
137,"  Ajao Estate, 5 Minutes Drive From Airport, Ikeja, Lagos","700,000"
138,"  Alpha Beach Road, Igbo Efon, Lekki, Lagos","4,500,000"
139,"  Ikota Villa Estate, Ikota, Lekki, Lagos","13,000,000"
140,"  Eputu, Ibeju Lekki, Lagos","2,000,000"
141,"  Ikate, Ikate Elegushi, Lekki, Lagos","4,500,000"
142,"  Banana Island, Ikoyi, Lagos","1,600,000"
143,"  Diamond Estate Monastery Road Beside Shoprite, Sangotedo, Ajah, Lagos","3,500,000"
144,"  Chief Collins Uchidenko Off Fola Osibo Street, Lekki Phase 1, Lekki, Lagos",₦
145,"  Lekki Phase 1, Lekki, Lagos",₦
146,"  Lekki Phase 1, Lekki, Lagos",₦
147,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
148,"  Chevron, Lekki Phase 2, Lekki, Lagos",₦
149,"  Chevron, Lekki Phase 2, Lekki, Lagos",₦
150,"  District, Zone 6, Wuse, Abuja",₦
151,"  Idado, Lekki, Lagos",₦
152,"  Lekki Phase 1, Lekki, Lagos",₦
153,"  Lekki Phase 1, Lekki, Lagos",₦
154,"  Queen Drive, Old Ikoyi, Ikoyi, Lagos",₦
155,"  Ikota, Lekki, Lagos",₦
156,"  Glover Road, Ikoyi, Lagos",₦
157,"  Oniru, Victoria Island (VI), Lagos",₦
158,"  By 2nd Toll Gate, Chevron Extension, Lekki Expressway, Lekki, Lagos",₦
159,"  Banana Island, Ikoyi, Lagos",₦
160,"  GRA, Magodo, Lagos",₦
161,"  Lekki Phase 1, Lekki, Lagos",₦
162,"  Lekki Phase 1, Lekki, Lagos",₦
163,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
164,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
165,"  Lekki Phase 1, Lekki, Lagos","1,900,000"
166,"  Lekki Phase 1, Lekki, Lagos","4,500,000"
167,"  Off Ademola Adetokunbo Street, Victoria Island (VI), Lagos","3,000,000"
168,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","400,000"
169,"  Chief Collins, Lekki Phase 1, Lekki, Lagos","3,000,000"
170,"  Falomo, Ikoyi, Lagos","3,500,000"
171,"  Lekki Phase 1, Lekki, Lagos","1,300,000"
172,"  Majek, Sangotedo, Ajah, Lagos","5,200,000"
173,"  Lekki Phase 1, Lekki, Lagos","1,800,000"
174,"  Off Fatai Arobieke, Lekki Phase 1, Lekki, Lagos","10,000,000"
175,"  Lekki Gardens Estate Phase 2, Ajah, Lagos","8,500,000"
176,"  Off Adeola Odeku, Victoria Island Extension, Victoria Island (VI), Lagos","3,000,000"
177,"  Hub 28, Prince Bode Adebowale Cresent, Lekki Phase 1, Lekki, Lagos","1,850,000"
178,"  Akin Olugbade Street, Victoria Island (VI), Lagos","250,000"
179,"  House 4, Asher Court 1, Femi Sule Street, Dideolu Courts, Oniru, Victoria Island (VI), Lagos","4,500,000"
180,"  Ikota Gra, Ikota, Lekki, Lagos","10,000,000"
181,"  Lekki Phase 1, Lekki, Lagos","4,500,000"
182,"  Off Moniya Garage Onilu Area, Moniya, Ibadan, Oyo","1,200,000"
183,"  Ikota, Lekki, Lagos","3,500,000"
184,"  Off Oduduwa Crescen, Ikeja GRA, Ikeja, Lagos","1,100,000"
185,"  Lekki Phase 1, Lekki, Lagos",₦
186,"  Off Fola Osibo, Lekki Phase 1, Lekki, Lagos",₦
187,"  Off Chevron Drive, Lekki, Lagos",₦
188,"  Aguda, Ogba, Ikeja, Lagos",₦
189,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
190,"  Lekki Phase 1, Lekki, Lagos",₦
191,"  Ibeju, Lagos",₦
192,"  Abraham Adesanya, Ajah, Lagos",₦
193,"  Pipeline By Kubwa Village Market, Kubwa, Abuja",₦
194,"  Lekki Phase 1, Lekki, Lagos",₦
195,"  Lekki Phase 1, Lekki, Lagos",₦
196,"  Irra Estate, Ifako, Gbagada, Lagos",₦
197,"  Phase 1, GRA, Magodo, Lagos",₦
