,0,1
4448,"  Toyan Street, Near St Gregory College/holy Child College, Obalende, Lagos Island, Lagos","1,500,000"
4449,"  Toyan Street Near St Gregory/holy Child School, Lagos Island, Lagos","3,500,000"
4450,"  Banana Island, Ikoyi, Lagos","2,500,000"
4451,"  Canal West Estate, Osapa, Lekki, Lagos","40,000"
4452,"  Lekki Phase 1, Lekki, Lagos","15,000,000"
4453,"  Off Bisola Durosimi-etti, Lekki Phase 1, Lekki, Lagos","7,000,000"
4454,"  Banana Island, Ikoyi, Lagos","2,500,000"
4455,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,000,000"
4456,"  Lekki Phase 1, Lekki, Lagos","12,000,000"
4457,"  Lekki, Lagos","2,500,000"
4458,"  Victoria Island 1004, Victoria Island Extension, Victoria Island (VI), Lagos","8,000,000"
4459,"  Off New Creation Street, Lekki Phase 1, Lekki, Lagos","12,000"
4460,"  Bourdillon Ikoyi, Old Ikoyi, Ikoyi, Lagos","4,000,000"
4461,"  Lekki Phase 1, Lekki, Lagos","5,000,000"
4462,"  Ido, Oyo","3,000,000"
4463,"  Aboyade Cole, Victoria Island (VI), Lagos","2,500,000"
4464,"  Adeola Odeku, Victoria Island (VI), Lagos","6,500,000"
4465,"  Amodu Tijani Close, Victoria Island (VI), Lagos","3,500,000"
4466,"  Peanock Estates, Jakande, Lekki, Lagos","4,500,000"
4467,"  Off Ajose Adeogun Street,, Victoria Island (VI), Lagos","6,000,000"
4468,"  Wuse2, Wuse 2, Abuja",₦
4469,"  Lekki Phase 1, Lekki, Lagos",₦
4470,"  Idimu, Lagos",₦
4471,"  Lekki Phase 1, Lekki, Lagos",₦
4472,"  Lekki Phase 1, Lekki, Lagos",₦
4473,"  Lekki Phase 1, Lekki, Lagos",₦
4474,"  Lekki Phase 1, Lekki, Lagos",₦
4475,"  Banana Island, Ikoyi, Lagos",₦
4476,"  27 Kolawole Street Lake Garden Estate, Ajah, Lagos",₦
4477,"  GRA Phase 3, Port Harcourt, Rivers",₦
4478,"  Banana Island, Ikoyi, Lagos",₦
4479,"  Akala Way, Akobo, Ibadan, Oyo",₦
4480,"  Off Gerrard Road Ikoyi, Old Ikoyi, Ikoyi, Lagos",₦
4481,"  Beside Nicon Town Estate, Lekki, Lagos",₦
4482,"  5 Aneke Crescent, Osapa, Lekki, Lagos",₦
4483,"  Osapa, Osapa, Lekki, Lagos",₦
4484,"  Badore, Ajah, Lagos",₦
4485,"  Banana Island, Ikoyi, Lagos",₦
4486,"  Millenium Estate, Oke Alo, Gbagada, Lagos",₦
4487,"  Ologolo, Agungi, Lekki, Lagos",₦
4488,"  Ologolo, Agungi, Lekki, Lagos","3,000,000"
4489,"  Oniru, Victoria Island (VI), Lagos","1,800,000"
4490,"  Nicon Town, Lekki, Lagos","14,000,000"
4491,"  Valley View Estate, Dankuwo Street, Off Igbogbo Ebute Road, Ikorodu, Lagos","1,000,000"
4492,"  Lekki Phase 1, Lekki, Lagos","10,000,000"
4493,"  Ajah, Lagos","1,000,000"
4494,"  Lekki Phase 1, Lekki, Lagos","50,000"
4495,"  Canaan Estate, Ajah, Lagos","15,000,000"
4496,"  Ajah, Lagos","2,600,000"
4497,"  Atunrase Estate, Gbagada, Lagos","2,000,000"
4498,"  3rd Roundabout, Ikate Elegushi, Lekki, Lagos","6,000,000"
4499,"  Kofo Abayomi, Victoria Island (VI), Lagos","10,000,000"
4500,"  Aba Oyekan Street, Old Ikoyi, Ikoyi, Lagos","3,500,000"
4501,"  Off Adeola Odeku, Victoria Island (VI), Lagos","7,500,000"
4502,"  Kofo Abayomi Street, Victoria Island (VI), Lagos","23,000,000"
4503,"  Dideolu Estate, Victoria Island (VI), Lagos","8,000,000"
4504,"  Cadogan Estate, Osapa, Lekki, Lagos","2,500,000"
4505,"  Chevy View Estate, Lekki, Lagos","1,100,000"
4506,"  Lekki Phase 1, Lekki, Lagos","2,500,000"
4507,"  Lekki Phase 1, Lekki, Lagos","3,500,000"
4508,"  Old Ikoyi, Ikoyi, Lagos","1,200,000"
4509,"  Old Ikoyi, Ikoyi, Lagos",₦
4510,"  Lekki Phase 1, Lekki, Lagos",₦
4511,"  Lekki Phase 1, Lekki, Lagos",₦
4512,"  Lekki Phase 1, Lekki, Lagos",₦
4513,"  Lekki Phase 1, Lekki, Lagos",₦
4514,"  Ikate Elegushi, Lekki, Lagos",₦
4515,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4516,"  Off Admiralty Way Lekki Phase 1, Ikate Elegushi, Lekki, Lagos",₦
4517,"  Lekki Phase 1, Lekki, Lagos",₦
4518,"  Lekki Phase 1, Lekki, Lagos",₦
4519,"  Lekki Phase 1, Lekki, Lagos",₦
4520,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",₦
4521,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4522,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4523,"  Lekki Phase 1, Lekki, Lagos",₦
4524,"  Lekki Phase 1, Lekki, Lagos",₦
4525,"  Ahmadu Bello Way, Victoria Island (VI), Lagos",₦
4526,"  City View Estate, Berger, Arepo, Ogun",₦
4527,"  Maryland Estate, Onigbongbo, Maryland, Lagos",₦
4528,"  Just After Abraham Adesanya Roundabout Before Lbs, Ajah, Lagos",₦
4529,"  Ologolo, Lekki, Lagos","3,000,000"
4530,"  Admiralty Way, Lekki Phase 1, Lekki, Lagos","400,000"
4531,"  Lekki Phase 1, Lekki, Lagos","2,500,000"
4532,"  Banana Island, Ikoyi, Lagos","6,000,000"
4533,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos","1,100,000"
4534,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","2,500,000"
4535,"  Ikate Elegushi, Lekki, Lagos","16,500,000"
4536,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","900,000"
4537,"  Northern Foreshore, Off Chevron Drive, Lekki, Lagos","250,000"
4538,"  Northern Foreshore, Off Chevron Drive, Lekki, Lagos","200,000"
4539,"  Off Onikoyi Road, Parkview, Ikoyi, Lagos","1,100,000"
4540,"  Lbs Lekki Ajah, Lekki Phase 2, Lekki, Lagos","5,000,000"
4541,"  Beachwood Estate, Bogije, Ibeju Lekki, Lagos","5,000,000"
4542,"  Banana Island, Ikoyi, Lagos","3,500,000"
4543,"  Osborne, Ikoyi, Lagos","6,500,000"
4544,"  Lekki, Lagos","5,500,000"
4545,"  Pinnock Beach Estate, Jakande, Lekki, Lagos","6,500,000"
4546,"  Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","4,500,000"
4547,"  Creek Avenue Court 5 Mins Drive From Dangote Refinery, Akodo Ise, Ibeju Lekki, Lagos","2,500,000"
4548,"  Along Lekki Exp, Way, Ikota Villa Estate, Lekki, Lagos","150,000,000"
4549,"  Shoprite, Osapa, Lekki, Lagos","6,500,000"
4550,"  Main Kubwa Market, Kubwa, Abuja",₦
4551,"  Agungi, Lekki, Lagos",₦
4552,"  Ikate Elegushi, Lekki, Lagos",₦
4553,"  Off Adetokunbo Ademola, Victoria Island (VI), Lagos",₦
4554,"  Yaba, Lagos",₦
4555,"  GRA, Magodo, Lagos",₦
4556,"  Off Eputu/lagasa Road, Ibeju Lekki, Lagos",₦
4557,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4558,"  Off Nnobi By Agboyin, Kilo, Surulere, Lagos",₦
4559,"  Dawaki, Gwarinpa, Abuja",₦
4560,"  Ogba, Ikeja, Lagos",₦
4561,"  Off Agbala Daniels Expressway, Ojoo, Ibadan, Oyo",₦
4562,"  Victoria Island (VI), Lagos",₦
4563,"  Old Ikoyi, Ikoyi, Lagos",₦
4564,"  Ladipo Oluwole Street, Adeniyi Jones, Ikeja, Lagos",₦
4565,"  Oniru Extension Axis, Oniru, Victoria Island (VI), Lagos",₦
4566,"  Nicon Town, Lekki, Lagos",₦
4567,"  Osapa, Lekki, Lagos",₦
4568,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos",₦
4569,"  VGC, Lekki, Lagos",₦
4570,"  Abraham Eletu Estate, Off Shoprite Road, Osapa, Lekki, Lagos","3,000,000"
4571,"  2a Dr Ladi Alakija Street, Lekki Phase 1, Lekki, Lagos","25,000,000"
4572,"  Pinnock Beach Estate, Shoprite Road, Jakande, Lekki, Lagos","650,000"
4573,"  Shoprite Road, Jakande, Osapa, Lekki, Lagos","6,000,000"
4574,"  Banana Island, Ikoyi, Banana Island, Ikoyi, Lagos","320,000"
4575,"  Victoria Height Apartment, Oniru, Opposite Landmark, Oniru, Victoria Island (VI), Lagos","4,000,000"
4576,"  Lekki Phase 1, Lekki, Lagos","4,500,000"
4577,"  Victoria Island Extension, Victoria Island (VI), Lagos","2,000,000"
4578,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","6,500,000"
4579,"  Oniru, Victoria Island (VI), Lagos","5,000,000"
4580,"  Lekki Phase 1, Lekki, Lagos","2,500,000"
4581,"  Off Lekki Free Trade Zone Expressway, Eleko, Ibeju Lekki, Lagos","3,000,000"
4582,"  Royal Gardens Estate, Ajiwe, Ajah, Lagos","5,000,000"
4583,"  Rumuodara, Port Harcourt, Rivers","2,500,000"
4584,"  New Road, Opposite Chevron, Lekki, Lagos","1,500,000"
4585,"  Off 3rd Round, Lekki Phase 1, Lekki, Lagos","4,000,000"
4586,"  Sangotedo, Ajah, Lagos","550,000"
4587,"  Sangotedo, Ajah, Lagos","850,000"
4588,"  Shop Rite Road, Osapa, Lekki, Lagos","1,700,000"
4589,"  Behind Blenco Super Market, Peninsula Garden Estate, Ajah, Lagos","3,000,000"
4590,"  Off Fola Osibo Street, Lekki Phase 1, Lekki, Lagos","1,200,000"
4591,"  Ikorodu Road, Ojuelegba, Surulere, Lagos",₦
4592,"  Road 4, Lekki Gardens Phase Two, Ajah, Lagos",₦
4593,"  Ajah, Lagos",₦
4594,"  Berger, Ojodu, Lagos",₦
4595,"  Oniru Extension, Lekki Phase 1, Lekki, Lagos",₦
4596,"  Lekki Phase 1, Lekki, Lagos",₦
4597,"  Suncity Estate, Galadimawa, Abuja",₦
4598,"  Adeola Odeku Street, Victoria Island (VI), Lagos",₦
4599,"  Lekki Phase 1, Lekki, Lagos",₦
4600,"  Olokonla, Ajah, Lagos",₦
4601,"  Bellavista Tower, Banana Island, Ikoyi, Lagos",₦
4602,"  Ajah, Lagos",₦
4603,"  Off Adeola Odeku, Victoria Island Extension, Victoria Island (VI), Lagos",₦
4604,"  Sangotedo, Ajah, Lagos",₦
4605,"  Awolowo Road, Falomo, Ikoyi, Lagos",₦
4606,"  Old Ikoyi, Ikoyi, Lagos",₦
4607,"  Lokogoma District, Abuja",₦
4608,"  Canal West Estate, Jakande, Lekki, Lagos",₦
4609,"  Oniru, Victoria Island (VI), Lagos",₦
4610,"  Isaac John, Ikeja GRA, Ikeja, Lagos",₦
4611,"  Chevron Alternative Route, Chevy View Estate, Lekki, Lagos","3,000,000"
4612,"  Banana Island Road, Ikoyi, Lagos","4,000,000"
4613,"  Banana Island, Ikoyi, Lagos","10,000,000"
4614,"  Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","2,500,000"
4615,"  Lekki Phase 1, Lekki, Lagos","1,500,000"
4616,"  Sunview Estate, Opposite Crown Estate, Sangotedo, Ajah, Lagos","16,000,000"
4617,"  Ikate Elegushi, Lekki, Lagos","1,500,000"
4618,"  Off Aminu Kano Way, Wuse 2, Abuja","12,000,000"
4619,"  7 Orkpark Estate Lbs, Ajah, Lagos","15,000,000"
4620,"  Lekki Phase 1, Lekki, Lagos","17,000,000"
4621,"  Lekki Phase 1, Lekki, Lagos","12,000,000"
4622,"  Beachwood Estate, Bogije, Ibeju Lekki, Lagos","12,000,000"
4623,"  Old Ikoyi, Ikoyi, Lagos","20,000"
4624,"  Lekki Phase 1, Lekki, Lagos","10,000,000"
4625,"  Osborne, Ikoyi, Lagos","1,100,000"
4626,"  Lafiaji, Lekki, Lagos","3,000,000"
4627,"  Adekunle, Yaba, Lagos","5,700,000"
4628,"  By Citi View Estate, Berger, Arepo, Ogun","4,500,000"
4629,"  Milverton, Old Ikoyi, Ikoyi, Lagos","14,000,000"
4630,"  Lekki Phase 1, Lekki, Lagos","850,000"
4631,"  Salem, Lekki Phase 1, Lekki, Lagos","3,000,000"
4632,"  Behind Zenith Bank, Osapa, Lekki, Lagos",₦
4633,"  Serviced And Gated Estate, Ikate Elegushi, Lekki, Lagos",₦
4634,"  Adeola Odeku, Victoria Island (VI), Lagos",₦
4635,"  Off Close 220, Banana Island, Ikoyi, Lagos",₦
4636,"  Wuse 2, Abuja",₦
4637,"  Maitama District, Abuja",₦
4638,"  Life Camp, Gwarinpa, Abuja",₦
4639,"  Fo1 Kubwa, Kubwa, Abuja",₦
4640,"  Lekki Phase 1, Lekki, Lagos",₦
4641,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4642,"  Rukpokwu, Port Harcourt, Rivers",₦
4643,"  Lekki Peninsula, Crown Estate, Sangotedo, Ajah, Lagos",₦
4644,"  Directly On Oba-akran Avenue, Oba Akran, Ikeja, Lagos",₦
4645,"  Happyland Estate, Sangotedo, Ajah, Lagos",₦
4646,"  Peace Garden Estate By Shoprite, Sangotedo, Ajah, Lagos",₦
4647,"  Maitama District, Abuja",₦
4648,"  Lbs, Lekki Phase 2, Lekki, Lagos",₦
4649,"  Treasure Estate, Rumuodara, Port Harcourt, Rivers",₦
4650,"  Omitoro Bus Stop, Off Elepe Ijede, Ikorodu, Lagos",₦
4651,"  Lekki Phase 1, Lekki, Lagos",₦
4652,"  Off Adetokunbo Ademola Street, Victoria Island (VI), Lagos","3,000,000"
4653,"  Oniru Estate, Victoria Island (VI), Lagos","7,000,000"
4654,"  Osapa, Lekki, Lagos","3,500,000"
4655,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
4656,"  Lekki Phase 1, Lekki, Lagos","3,500,000"
4657,"  Lekki Phase 1, Lekki, Lagos","1,000,000"
4658,"  Lekki Phase 1, Lekki, Lagos","6,000,000"
4659,"  Lekki Phase 1, Lekki, Lagos","6,000,000"
4660,"  Lekki Phase 1, Lekki, Lagos","25,000,000"
4661,"  Ikate Elegushi, Lekki, Lagos","13,000,000"
4662,"  Lekki Phase 1, Lekki, Lagos","5,000,000"
4663,"  Prime Water View Estates, Lekki Phase 1, Lekki, Lagos","1,300,000"
4664,"  Kunsenla Road, Ikate Elegushi, Lekki, Lagos","3,500,000"
4665,"  Lekki Safecourt Estate (ikate Beside Spar), Ikate Elegushi, Lekki, Lagos","8,000,000"
4666,"  Lekki Phase 1, Lekki, Lagos","6,000,000"
4667,"  Lekki Phase 1, Lekki, Lagos","11,000,000"
4668,"  Lekki Phase 1, Lekki, Lagos","2,000,000"
4669,"  Lekki Phase 1, Lekki, Lagos","75,000"
4670,"  Lekki Phase 1, Lekki, Lagos","70,000"
4671,"  Lekki Phase 1, Lekki, Lagos","20,000,000"
4672,"  Lekki Phase 1, Lekki, Lagos","14,000,000"
4673,"  Lekki Phase 1, Lekki, Lagos",₦
4674,"  Lekki Phase 1, Lekki, Lagos",₦
4675,"  Lekki Phase 1, Lekki, Lagos",₦
4676,"  Lekki Phase 1, Lekki, Lagos",₦
4677,"  Banana Island, Ikoyi, Lagos",₦
4678,"  Lekki Phase 1, Lekki, Lagos",₦
4679,"  Old Ikoyi, Ikoyi, Lagos",₦
4680,"  Ikate Elegushi, Lekki, Lagos",₦
4681,"  Old Ikoyi, Ikoyi, Lagos",₦
4682,"  Ladipo Latinwo Crescent, Lekki Phase 1, Lekki, Lagos",₦
4683,"  Lekki Phase 1, Lekki, Lagos",$
4684,"  Surulere, Lagos",₦
4685,"  Estate, Agungi, Lekki, Lagos",₦
4686,"  Behind Petrocam, Lekki Phase 1, Lekki, Lagos",₦
4687,"  Pero, Ogombo, Ajah, Lagos",₦
4688,"  Ikorodu Rd Expressway, Obanikoro, Shomolu, Lagos",₦
4689,"  Oniru, Victoria Island (VI), Lagos",₦
4690,"  Eletu Estate Opposite Victory Park, Osapa, Lekki, Lagos",₦
4691,"  Off Boufrdillon, Old Ikoyi, Ikoyi, Lagos",₦
4692,"  Parkview, Ikoyi, Lagos",₦
4693,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
4694,"  Lekki Phase 1, Lekki, Lagos","8,000"
4695,"  Off Admiralty Way Lekki, Lekki Phase 1, Lekki, Lagos","6,000,000"
4696,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","2,000,000"
4697,"  Lekki Phase 1, Lekki, Lagos","750,000"
4698,"  Herbert Macualy, Old GRA, Port Harcourt, Rivers","3,500,000"
4699,"  Westwood Estate, Badore, Ajah, Lagos","17,000,000"
4700,"  Lekki Phase 1, Lekki, Lagos","17,000,000"
4701,"  Katampe Extension, Katampe, Abuja","11,000,000"
4702,"  Katampe Extension /diplomatic Zone, Katampe, Abuja","1,000,000"
4703,"  Dawaki, Gwarinpa, Abuja","4,000,000"
4704,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,000,000"
4705,"  Osborne, Ikoyi, Lagos","1,000,000"
4706,"  Osborne, Ikoyi, Lagos","3,000,000"
4707,"  Parkview, Ikoyi, Lagos","4,000,000"
4708,"  Parkview, Ikoyi, Lagos","1,800,000"
4709,"  Richmond Gate 3, Ikate Elegushi, Lekki, Lagos","1,200,000"
4710,"  Ilasan, Lekki, Lagos","2,500,000"
4711,"  Banana Island, Ikoyi, Lagos","4,000,000"
4712,"  Banana Island, Ikoyi, Lagos","3,200,000"
4713,"  Banana Island, Ikoyi, Lagos","6,000,000"
4714,"  Prime Water View Estate, Lekki Phase 1, Lekki, Lagos",₦
4715,"  Alperton Estste, Osapa, Lekki, Lagos",₦
4716,"  Fola Osibo Street, Lekki Phase 1, Lekki, Lagos",₦
4717,"  Lekki Phase 1, Lekki, Lagos",₦
4718,"  Lekki, Lagos",₦
4719,"  Off Sanusi Fafunwa Street, Victoria Island (VI), Lagos",₦
4720,"  Diplomatic Zone, Katampe Extension, Katampe, Abuja",₦
4721,"  Agungi, Lekki, Lagos",₦
4722,"  Old Ikoyi, Ikoyi, Lagos",₦
4723,"  Old Ikoyi, Ikoyi, Lagos",₦
4724,"  Ikeja, Lagos",₦
4725,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4726,"  Oluwatoyin Adewuyi Street, Oral Estate Chevron, Lekki Phase 2, Lekki, Lagos",₦
4727,"  Oniru, Victoria Island (VI), Lagos",₦
4728,"  Wuye District Abuja, Wuye, Abuja",₦
4729,"  Katampe (Main), Katampe, Abuja",₦
4730,"  Old Ikoyi, Ikoyi, Lagos",₦
4731,"  Dolphin Estate, Old Ikoyi, Ikoyi, Lagos",₦
4732,"  Old Ikoyi, Ikoyi, Lagos",₦
4733,"  Banana Island, Ikoyi, Lagos",₦
4734,"  Banana Island, Ikoyi, Lagos","3,000,000"
4735,"  Banana Island, Ikoyi, Lagos",750
4736,"  Ikeja, Lagos","28,000"
4737,"  Ikeja, Lagos","13,500,000"
4738,"  Osborne, Ikoyi, Lagos","2,600,000"
4739,"  Lekki Phase 1, Lekki, Lagos","7,000,000"
4740,"  Lekki Phase 1, Lekki, Lagos","1,900,000"
4741,"  Oniru, Victoria Island (VI), Lagos","10,000,000"
4742,"  Lekki Phase 1, Lekki, Lagos","3,500,000"
4743,"  Lekki Phase 1, Lekki, Lagos","4,000,000"
4744,"  Off Admiralty Way Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","850,000"
4745,"  Well Secured Estate By Whitesand School Lekki Right, Lekki Phase 1, Lekki, Lagos","5,500,000"
4746,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","5,500,000"
4747,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
4748,"  On Adebayo Dohaghty, Lekki Phase 1, Lekki, Lagos","3,000,000"
4749,"  Lekki Phase 1, Lekki, Lagos","8,000,000"
4750,"  Old Ikoyi, Ikoyi, Lagos","1,500,000"
4751,"  Banana Island, Ikoyi, Lagos","1,500,000"
4752,"  Banana Island, Ikoyi, Lagos","6,000,000"
4753,"  Banana Island, Ikoyi, Lagos","5,000,000"
4754,"  Banana Island, Ikoyi, Lagos","4,500,000"
4755,"  Banana Island, Ikoyi, Lagos",₦
4756,"  Banana Island, Ikoyi, Lagos",₦
4757,"  Old Ikoyi, Ikoyi, Lagos",$
4758,"  Off Isaac John Street, Ikeja GRA, Ikeja, Lagos",₦
4759,"  Banana Island, Ikoyi, Lagos",₦
4760,"  Old Ikoyi, Ikoyi, Lagos",₦
4761,"  Julie Estate Off Oregun Road, Oregun, Ikeja, Lagos",₦
4762,"  Off Adebayo Doghathy, Lekki Phase 1, Lekki, Lagos",₦
4763,"  Lekki Phase 1, Lekki, Lagos",₦
4764,"  2, Sule Oyesola Crescent, Oke Ota Ona, Ikorodu, Lagos",₦
4765,"  Lekki Phase 1, Lekki, Lagos",₦
4766,"  Herbert Macaulay Crescent, Ikeja GRA, Ikeja, Lagos",₦
4767,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4768,"  Lekki Phase 1, Lekki, Lagos",₦
4769,"  Close To Mko Garden Alausa, Alausa, Ikeja, Lagos",₦
4770,"  Iponri, Surulere, Lagos",₦
4771,"  Allen, Ikeja, Lagos",₦
4772,"  Thomas Estate, Ajah, Lagos",₦
4773,"  Off Kingsway Road, Old Ikoyi, Ikoyi, Lagos",₦
4774,"  Mojisola Onikoyi Estate, Ikoyi, Lagos",₦
4775,"  Victoria Island Extension, Victoria Island (VI), Lagos","3,000,000"
4776,"  Residential Zone, Banana Island, Ikoyi, Lagos","18,000,000"
4777,"  Ikeja GRA, Ikeja, Lagos","5,000,000"
4778,"  Lekki Scheme 2 Opposite Abraham Adesanya Estate, Ajah, Lagos","5,000,000"
4779,"  Cluster Estate Off Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","3,000,000"
4780,"  Ikoyi, Lagos","80,000"
4781,"  Lekki Phase 1, Lekki, Lagos","8,000,000"
4782,"  Off Ligali Ayorinde, Victoria Island (VI), Lagos","15,000,000"
4783,"  Arowojobe Estate, Mende, Maryland, Lagos","3,000,000"
4784,"  Awolowo Road Ikoyi, Old Ikoyi, Ikoyi, Lagos","8,000,000"
4785,"  Oba Akinjobi Street, Ikeja Gra, Ikeja GRA, Ikeja, Lagos","15,000,000"
4786,"  Awolowo Road Ikoyi, Old Ikoyi, Ikoyi, Lagos","3,500,000"
4787,"  Off Corporation Drive, Victoria Island (VI), Lagos","15,000,000"
4788,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","15,000,000"
4789,"  Lekki Phase 1, Lekki, Lagos","12,000,000"
4790,"  Maitama District, Abuja","4,000,000"
4791,"  Chevron Drive, Chevy View Estate, Lekki, Lagos","6,500,000"
4792,"  By 2nd Roundabout, Lekki Phase 1, Lekki, Lagos","3,000,000"
4793,"  Osborne, Ikoyi, Lagos","3,500,000"
4794,"  Alausa, Ikeja, Lagos","600,000"
4795,"  Lekki Phase 1, Lekki, Lagos","1,000,000"
4796,"  Lekki Paradise Estate, Chevron Drive, Chevy View Estate, Lekki Expressway, Lekki, Lagos",₦
4797,"  Close To Aduvie International School, Jahi, Abuja",₦
4798,"  Off Bourdillon, Old Ikoyi, Ikoyi, Lagos",₦
4799,"  Off Kingsway, Old Ikoyi, Ikoyi, Lagos",₦
4800,"  Victoria Island (VI), Lagos",₦
4801,"  Adeniran Ogunsanya, Surulere, Lagos",₦
4802,"  Residential Zone, Banana Island, Ikoyi, Lagos",₦
4803,"  Off Adeola Odeku Street, Victoria Island (VI), Lagos",₦
4804,"  Ikeja GRA, Ikeja, Lagos",₦
4805,"  Residential Zone, Banana Island, Ikoyi, Lagos",₦
4806,"  Off 3rd Avenue, Banana Island, Ikoyi, Lagos",₦
4807,"  Ikoyi, Lagos",₦
4808,"  Lekki Phase 1, Lekki, Lagos",₦
4809,"  Lekki Phase 1, Lekki, Lagos",₦
4810,"  Alaba, Ojo, Lagos",₦
4811,"  Banana Island, Ikoyi, Lagos",₦
4812,"  Lekki Phase 1, Lekki, Lagos",$
4813,"  Anu Crescent Eatate, Badore, Ajah, Lagos",$
4814,"  Victoria Island Extension, Victoria Island (VI), Lagos",₦
4815,"  Banana Island, Ikoyi, Lagos",₦
4816,"  Banana Island, Ikoyi, Lagos","3,000,000"
4817,"  Banana Island, Ikoyi, Lagos","9,000,000"
4818,"  Lekki, Lagos","1,000,000"
4819,"  Oniru, Victoria Island (VI), Lagos","800,000"
4820,"  Oniru, Victoria Island (VI), Lagos","1,400,000"
4821,"  Lekki Phase 1, Lekki, Lagos","2,000,000"
4822,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos","12,000,000"
4823,"  Lekki Phase 1, Lekki, Lagos","1,000,000"
4824,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
4825,"  Lekki Phase 1, Lekki, Lagos","8,000,000"
4826,"  Nicon Town, Lekki, Lagos","2,500,000"
4827,"  Lekki Phase 1, Lekki, Lagos","8,200,000"
4828,"  Lekki Phase 1, Lekki, Lagos","1,800,000"
4829,"  Lekki Phase 1, Lekki, Lagos","9,500,000"
4830,"  Lekki Phase 1, Lekki, Lagos","2,000,000"
4831,"  Lekki Phase 1, Lekki, Lagos","500,000"
4832,"  Lekki Phase 1, Lekki, Lagos","15,000,000"
4833,"  Osapa, Lekki, Lagos","400,000"
4834,"  Ikate Elegushi, Lekki, Lagos","2,000,000"
4835,"  Lekki Phase 1, Lekki, Lagos","400,000"
4836,"  Lekki Phase 1, Lekki, Lagos","8,000,000"
4837,"  Lekki Phase 1, Lekki, Lagos",₦
4838,"  Ologolo, Lekki, Lagos",₦
4839,"  Lekki Phase 1, Lekki, Lagos",₦
4840,"  Lekki Phase 1, Lekki, Lagos",₦
4841,"  Lekki Phase 1, Lekki, Lagos",₦
4842,"  Lekki Phase 1, Lekki, Lagos",₦
4843,"  Lekki Phase 1, Lekki, Lagos",₦
4844,"  Lekki Phase 1, Lekki, Lagos",₦
4845,"  Off Bourdilon, Old Ikoyi, Ikoyi, Lagos",₦
4846,"  Banana Island, Ikoyi, Lagos",₦
4847,"  Off Glover Road, Old Ikoyi, Ikoyi, Lagos",₦
4848,"  Banana Island, Ikoyi, Lagos",₦
4849,"  Off 3rd Avenue, Banana Island, Ikoyi, Lagos",₦
4850,"  Lekki Phase 1, Lekki, Lagos",₦
4851,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",₦
4852,"  Off Kingsway, Old Ikoyi, Ikoyi, Lagos",₦
4853,"  Central Business District, Abuja",₦
4854,"  Ojota, Lagos",₦
4855,"  Durumi, Abuja",₦
4856,"  Banana Island, Ikoyi, Lagos",$
4857,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
4858,"  Banana Island, Ikoyi, Lagos","900,000"
4859,"  Oniru, Victoria Island (VI), Lagos","1,500,000"
4860,"  Lekki Phase 1, Lekki, Lagos","650,000"
4861,"  Lekki Phase 1, Lekki, Lagos","6,000,000"
4862,"  Ikeja GRA, Ikeja, Lagos","13,000,000"
4863,"  Anthony, Maryland, Lagos","500,000"
4864,"  Victoria Island Extension, Victoria Island (VI), Lagos","30,000,000"
4865,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
4866,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","600,000"
4867,"  Lekki Phase 1, Lekki, Lagos","9,000,000"
4868,"  Peninsula Garden Estate, Ajah, Lagos","3,200,000"
4869,"  Off Road 4, VGC, Lekki, Lagos","75,000,000"
4870,"  Victoria Island (VI), Lagos","35,000"
4871,"  Ikeja GRA, Ikeja, Lagos","250,000"
4872,"  Lekki Phase 1, Lekki, Lagos","55,000"
